frame;[[1, 2], [1, 3], [2, 3]]
1;['0', 'PP', '0']
2;['0', 'PP', '0']
3;['0', 'PP', '0']
4;['0', 'PP', '0']
5;['0', 'PP', '0']
6;['0', 'PP', '0']
7;['0', 'PP', '0']
8;['0', 'PP', '0']
9;['0', 'PP', '0']
10;['0', 'PP', '0']
11;['0', 'PP', '0']
12;['0', 'PP', '0']
13;['0', 'PP', '0']
14;['0', 'PP', '0']
15;['0', 'PP', '0']
16;['0', 'PP', '0']
17;['0', 'PP', '0']
18;['0', 'PP', '0']
19;['0', 'PP', '0']
20;['0', 'PP', '0']
21;['0', 'PP', '0']
22;['0', 'PP', '0']
23;['0', 'PP', '0']
24;['0', 'PP', '0']
25;['0', 'PP', '0']
26;['0', 'PP', '0']
27;['0', 'PP', '0']
28;['0', 'PP', '0']
29;['0', 'PP', '0']
30;['0', 'PP', '0']
31;['0', 'PP', '0']
32;['0', 'PP', '0']
33;['0', 'PP', '0']
34;['0', 'PP', '0']
35;['0', 'PP', '0']
36;['0', 'PP', '0']
37;['0', 'PP', '0']
38;['0', 'PP', '0']
39;['0', 'PP', '0']
40;['0', 'PP', '0']
41;['0', 'PP', '0']
42;['0', 'PP', '0']
43;['0', 'PP', '0']
44;['0', 'PP', '0']
45;['0', 'PP', '0']
46;['0', 'PP', '0']
47;['0', 'PP', '0']
48;['0', 'PP', '0']
49;['0', 'PP', '0']
50;['0', 'PP', '0']
51;['0', 'PP', '0']
52;['0', 'PP', '0']
53;['0', 'PP', '0']
54;['0', 'PP', '0']
55;['0', 'PP', '0']
56;['0', 'PP', '0']
57;['0', 'PP', '0']
58;['0', 'PP', '0']
59;['0', 'PP', '0']
60;['0', 'PP', '0']
61;['0', 'PP', '0']
62;['0', 'PP', '0']
63;['0', 'PP', '0']
64;['0', 'PP', '0']
65;['0', 'PP', '0']
66;['0', 'PP', '0']
67;['0', 'PP', '0']
68;['0', 'PP', '0']
69;['0', 'PP', '0']
70;['0', 'PP', '0']
71;['0', 'PP', '0']
72;['0', 'PP', '0']
73;['0', 'PP', '0']
74;['0', 'PP', '0']
75;['0', 'PP', '0']
76;['0', 'PP', '0']
77;['0', 'PP', '0']
78;['0', 'PP', '0']
79;['0', 'PP', '0']
80;['0', 'PP', '0']
81;['0', 'PO', '0']
82;['PP', 'PO', 'PP']
83;['PO', 'PO', 'PP']
84;['PO', 'PO', 'PP']
85;['PO', 'PO', 'PP']
86;['PO', 'PO', 'PP']
87;['DR', 'DR', 'PP']
88;['DR', 'DR', 'PP']
89;['DR', 'DR', 'PP']
90;['DR', 'DR', 'PP']
91;['DR', 'DR', 'PP']
92;['DR', 'DR', 'PP']
93;['DR', 'DR', 'PP']
94;['DR', 'DR', 'PP']
95;['DR', 'DR', 'PP']
96;['DR', 'DR', 'PP']
97;['DR', 'DR', 'PP']
98;['DR', 'DR', 'PP']
99;['DR', 'DR', 'PP']
100;['DR', 'DR', 'PP']
101;['DR', 'DR', 'PP']
102;['DR', 'DR', 'PP']
103;['DR', 'DR', 'PP']
104;['DR', 'DR', 'PP']
105;['DR', 'DR', 'PP']
106;['DR', 'DR', 'PP']
107;['DR', 'DR', 'PP']
108;['DR', 'DR', 'PP']
109;['DR', 'DR', 'PP']
110;['DR', 'DR', 'PP']
111;['DR', 'DR', 'PP']
112;['DR', 'DR', 'PP']
113;['DR', 'DR', 'PP']
114;['DR', 'DR', 'PP']
115;['DR', 'DR', 'PP']
116;['DR', 'DR', 'PP']
117;['DR', 'DR', 'PP']
118;['DR', 'DR', 'PP']
119;['DR', 'DR', 'PP']
120;['DR', 'DR', 'PP']
121;['DR', 'DR', 'PP']
122;['DR', 'DR', 'PP']
123;['DR', 'DR', 'PP']
124;['DR', 'DR', 'PP']
125;['DR', 'DR', 'PP']
126;['DR', 'DR', 'PP']
127;['DR', 'DR', 'PP']
128;['DR', 'DR', 'PP']
129;['DR', 'DR', 'PP']
130;['DR', 'DR', 'PP']
131;['DR', 'DR', 'PP']
132;['DR', 'DR', 'PP']
133;['DR', 'DR', 'PP']
134;['DR', 'DR', 'PP']
135;['DR', 'DR', 'PP']
136;['DR', 'DR', 'PP']
137;['DR', 'DR', 'PP']
138;['DR', 'DR', 'PP']
139;['DR', 'DR', 'PP']
140;['DR', 'DR', 'PP']
141;['DR', 'DR', 'PP']
142;['DR', 'DR', 'PP']
143;['DR', 'DR', 'PP']
144;['DR', 'DR', 'PP']
145;['DR', 'DR', 'PP']
146;['DR', 'DR', 'PP']
147;['DR', 'DR', 'PP']
148;['DR', 'DR', 'PP']
149;['DR', 'DR', 'PP']
150;['DR', 'DR', 'PP']
151;['DR', 'DR', 'PP']
152;['DR', 'DR', 'PP']
153;['DR', 'DR', 'PP']
154;['DR', 'DR', 'PP']
155;['DR', 'DR', 'PP']
156;['DR', 'DR', 'PP']
157;['DR', 'DR', 'PP']
158;['DR', 'DR', 'PP']
159;['DR', 'DR', 'PP']
160;['DR', 'DR', 'PP']
161;['DR', 'DR', 'PP']
162;['DR', 'DR', 'PP']
163;['DR', 'DR', 'PP']
164;['DR', 'DR', 'PP']
165;['DR', 'DR', 'PP']
166;['DR', 'DR', 'PP']
167;['DR', 'DR', 'PP']
168;['DR', 'DR', 'PP']
169;['DR', 'DR', 'PP']
170;['DR', 'DR', 'PP']
171;['DR', 'DR', 'PP']
172;['DR', 'DR', 'PP']
173;['DR', 'DR', 'PP']
174;['DR', 'DR', 'PP']
175;['DR', 'DR', 'PP']
176;['DR', 'DR', 'PP']
177;['DR', 'DR', 'PP']
178;['DR', 'DR', 'PP']
179;['DR', 'DR', 'PP']
180;['DR', 'DR', 'PP']
181;['DR', 'DR', 'PP']
182;['DR', 'DR', 'PP']
183;['DR', 'DR', 'PP']
184;['DR', 'DR', 'PP']
185;['DR', 'DR', 'PP']
186;['DR', 'DR', 'PP']
187;['DR', 'DR', 'PP']
188;['DR', 'DR', 'PP']
189;['DR', 'DR', 'PP']
190;['DR', 'DR', 'PP']
191;['DR', 'DR', 'PP']
192;['DR', 'DR', 'PP']
193;['DR', 'DR', 'PP']
194;['DR', 'DR', 'PP']
195;['DR', 'DR', 'PP']
196;['DR', 'DR', 'PP']
197;['DR', 'DR', 'PP']
198;['DR', 'DR', 'PP']
199;['DR', 'DR', 'PP']
200;['DR', 'DR', 'PP']
201;['DR', 'DR', 'PP']
202;['DR', 'DR', 'PP']
203;['DR', 'DR', 'PP']
204;['DR', 'DR', 'PP']
205;['DR', 'DR', 'PP']
206;['DR', 'DR', 'PP']
207;['DR', 'DR', 'PP']
208;['DR', 'DR', 'PP']
209;['DR', 'DR', 'PP']
210;['DR', 'DR', 'PP']
211;['DR', 'DR', 'PO']
212;['DR', 'DR', 'PO']
213;['DR', 'DR', 'PO']
214;['DR', 'DR', 'PO']
215;['DR', 'DR', 'PO']
216;['DR', 'DR', 'PO']
217;['DR', 'DR', 'PO']
218;['DR', 'DR', 'PO']
219;['DR', 'DR', 'PO']
220;['DR', 'DR', 'PO']
221;['DR', 'DR', 'PO']
222;['DR', 'DR', 'DR']
223;['DR', 'DR', 'DR']
224;['DR', 'DR', 'DR']
225;['DR', 'DR', 'DR']
226;['DR', 'DR', 'DR']
227;['DR', 'DR', 'DR']
228;['DR', 'DR', 'DR']
229;['DR', 'DR', 'DR']
230;['DR', 'DR', 'DR']
231;['DR', 'DR', 'DR']
232;['DR', 'DR', 'DR']
233;['DR', 'DR', 'DR']
234;['DR', 'DR', 'DR']
235;['DR', 'DR', 'DR']
236;['DR', 'DR', 'DR']
237;['DR', 'DR', 'DR']
238;['DR', 'DR', 'DR']
239;['DR', 'DR', 'DR']
240;['DR', 'DR', 'DR']
241;['DR', 'DR', 'DR']
242;['DR', 'DR', 'DR']
243;['DR', 'DR', 'DR']
244;['DR', 'DR', 'DR']
245;['DR', 'DR', 'DR']
246;['DR', 'DR', 'DR']
247;['DR', 'DR', 'DR']
248;['DR', 'DR', 'DR']
249;['DR', 'DR', 'DR']
250;['DR', 'DR', 'DR']
251;['DR', 'DR', 'DR']
252;['DR', 'DR', 'DR']
253;['DR', 'DR', 'DR']
254;['DR', 'DR', 'DR']
255;['DR', 'DR', 'DR']
256;['DR', 'DR', 'DR']
257;['DR', 'DR', 'DR']
258;['DR', 'DR', 'DR']
259;['DR', 'DR', 'DR']
260;['DR', 'DR', 'DR']
261;['DR', 'DR', 'DR']
262;['DR', 'DR', 'DR']
263;['DR', 'DR', 'DR']
264;['DR', 'DR', 'DR']
265;['DR', 'DR', 'DR']
266;['DR', 'DR', 'DR']
267;['DR', 'DR', 'DR']
268;['DR', 'DR', 'DR']
269;['DR', 'DR', 'DR']
270;['DR', 'DR', 'DR']
271;['DR', 'DR', 'DR']
272;['DR', 'DR', 'DR']
273;['DR', 'DR', 'DR']
274;['DR', 'DR', 'DR']
275;['DR', 'DR', 'DR']
276;['DR', 'DR', 'DR']
277;['DR', 'DR', 'DR']
278;['DR', 'DR', 'DR']
279;['DR', 'DR', 'DR']
280;['DR', 'DR', 'DR']
281;['DR', 'DR', 'DR']
282;['DR', 'DR', 'DR']
283;['DR', 'DR', 'DR']
284;['DR', 'DR', 'DR']
285;['DR', 'DR', 'DR']
286;['DR', 'DR', 'DR']
287;['DR', 'DR', 'DR']
288;['DR', 'DR', 'DR']
289;['DR', 'DR', 'DR']
290;['DR', 'DR', 'DR']
291;['DR', 'DR', 'DR']
292;['DR', 'DR', 'DR']
293;['DR', 'DR', 'DR']
294;['DR', 'DR', 'DR']
295;['DR', 'DR', 'DR']
296;['DR', 'DR', 'DR']
297;['DR', 'DR', 'DR']
298;['DR', 'DR', 'DR']
299;['DR', 'DR', 'DR']
300;['DR', 'DR', 'DR']
301;['DR', 'DR', 'DR']
302;['DR', 'DR', 'DR']
303;['DR', 'DR', 'DR']
304;['DR', 'DR', 'DR']
305;['DR', 'DR', 'DR']
306;['DR', 'DR', 'DR']
307;['DR', 'DR', 'DR']
308;['DR', 'DR', 'DR']
309;['DR', 'DR', 'DR']
310;['DR', 'DR', 'DR']
311;['DR', 'DR', 'DR']
312;['DR', 'DR', 'DR']
313;['DR', 'DR', 'DR']
314;['DR', 'DR', 'DR']
315;['DR', 'DR', 'DR']
316;['DR', 'DR', 'DR']
317;['DR', 'DR', 'DR']
318;['DR', 'DR', 'DR']
319;['DR', 'DR', 'DR']
320;['DR', 'DR', 'DR']
321;['DR', 'DR', 'DR']
322;['DR', 'DR', 'DR']
323;['DR', 'DR', 'DR']
324;['DR', 'DR', 'DR']
325;['DR', 'DR', 'DR']
326;['DR', 'DR', 'DR']
327;['DR', 'DR', 'DR']
328;['DR', 'DR', 'DR']
329;['DR', 'DR', 'DR']
330;['DR', 'DR', 'DR']
331;['DR', 'DR', 'DR']
332;['DR', 'DR', 'DR']
333;['DR', 'DR', 'DR']
334;['DR', 'DR', 'DR']
335;['DR', 'DR', 'DR']
336;['DR', 'DR', 'DR']
337;['DR', 'DR', 'DR']
338;['DR', 'DR', 'DR']
339;['DR', 'DR', 'DR']
340;['DR', 'DR', 'DR']
341;['DR', 'DR', 'DR']
342;['DR', 'DR', 'DR']
343;['DR', 'DR', 'DR']
344;['DR', 'DR', 'DR']
345;['DR', 'DR', 'DR']
346;['DR', 'DR', 'DR']
347;['DR', 'DR', 'DR']
348;['DR', 'DR', 'DR']
349;['DR', 'DR', 'DR']
350;['DR', 'DR', 'DR']
351;['DR', 'DR', 'DR']
352;['DR', 'DR', 'DR']
353;['DR', 'DR', 'DR']
354;['DR', 'DR', 'DR']
355;['DR', 'DR', 'DR']
356;['DR', 'DR', 'DR']
357;['DR', 'DR', 'DR']
358;['DR', 'DR', 'DR']
359;['DR', 'DR', 'DR']
360;['DR', 'DR', 'DR']
361;['DR', 'DR', 'DR']
362;['DR', 'DR', 'DR']
363;['DR', 'DR', 'DR']
364;['DR', 'DR', 'DR']
365;['DR', 'DR', 'DR']
366;['DR', 'DR', 'DR']
367;['DR', 'DR', 'DR']
368;['DR', 'DR', 'DR']
369;['DR', 'DR', 'DR']
370;['DR', 'DR', 'DR']
371;['DR', 'DR', 'DR']
372;['DR', 'DR', 'DR']
373;['DR', 'DR', 'DR']
374;['DR', 'DR', 'DR']
